Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Post Total Impressions;Lifetime Engaged Users;Lifetime Post Consumers;Lifetime Post Consumptions;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime People who have liked your Page and engaged with your post;comment;like;share;Total Interactions
139441;Photo;2;12;4;3;0;2752;5091;178;109;159;3078;1640;119;4;79;17;100
139441;Status;2;12;3;10;0;10460;19057;1457;1361;1674;11710;6112;1108;5;130;29;164
139441;Photo;3;12;3;3;0;2413;4373;177;113;154;2812;1503;132;0;66;14;80
139441;Photo;2;12;2;10;1;50128;87991;2211;790;1119;61027;32048;1386;58;1572;147;1777
139441;Photo;2;12;2;3;0;7244;13594;671;410;580;6228;3200;396;19;325;49;393
139441;Status;2;12;1;9;0;10472;20849;1191;1073;1389;16034;7852;1016;1;152;33;186
139441;Photo;3;12;1;3;1;11692;19479;481;265;364;15432;9328;379;3;249;27;279
139441;Photo;3;12;7;9;1;13720;24137;537;232;305;19728;11056;422;0;325;14;339
139441;Status;2;12;7;3;0;11844;22538;1530;1407;1692;15220;7912;1250;0;161;31;192
139441;Photo;3;12;6;10;0;4694;8668;280;183;250;4309;2324;199;3;113;26;142
139441;Status;2;12;5;10;0;21744;42334;4258;4100;4540;37849;18952;3798;0;233;19;252
139441;Photo;2;12;5;10;0;3112;5590;208;127;145;3887;2174;165;0;88;18;106
139441;Photo;2;12;5;10;0;2847;5133;193;115;133;3779;2072;152;0;90;14;104
139441;Photo;2;12;5;3;0;2549;4896;249;134;168;3631;1917;183;5;137;10;152
138414;Photo;2;12;4;5;1;22784;39941;887;337;417;34415;19312;684;2;577;20;599
138414;Status;2;12;3;10;0;10060;19680;1264;1209;1425;17272;8548;1162;4;86;18;108
138414;Photo;3;12;3;3;0;1722;2981;163;123;148;1868;1050;123;2;40;12;54
138414;Photo;1;12;2;12;1;53264;111785;1706;1103;1655;92512;39776;1307;15;678;20;713
138414;Status;3;12;2;3;0;3930;7509;130;86;112;5009;2410;101;4;54;17;75
138414;Photo;3;12;1;11;0;1591;2825;121;88;111;2116;1161;100;0;34;8;42
