Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew
Journey,Azamara,6,30.276999999999997,6.94,5.94,3.55,42.64,3.55
Quest,Azamara,6,30.276999999999997,6.94,5.94,3.55,42.64,3.55
Celebration,Carnival,26,47.262,14.86,7.22,7.43,31.8,6.7
Conquest,Carnival,11,110.0,29.74,9.53,14.88,36.99,19.1
Destiny,Carnival,17,101.353,26.42,8.92,13.21,38.36,10.0
Ecstasy,Carnival,22,70.367,20.52,8.55,10.2,34.29,9.2
Elation,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2
Fantasy,Carnival,23,70.367,20.56,8.55,10.22,34.23,9.2
Fascination,Carnival,19,70.367,20.52,8.55,10.2,34.29,9.2
Freedom,Carnival,6,110.23899999999999,37.0,9.51,14.87,29.79,11.5
Glory,Carnival,10,110.0,29.74,9.51,14.87,36.99,11.6
Holiday,Carnival,28,46.052,14.52,7.27,7.26,31.72,6.6
Imagination,Carnival,18,70.367,20.52,8.55,10.2,34.29,9.2
Inspiration,Carnival,17,70.367,20.52,8.55,10.2,34.29,9.2
Legend,Carnival,11,86.0,21.24,9.63,10.62,40.49,9.3
Liberty*,Carnival,8,110.0,29.74,9.51,14.87,36.99,11.6
Miracle,Carnival,9,88.5,21.24,9.63,10.62,41.67,10.3
Paradise,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2
Pride,Carnival,12,88.5,21.24,9.63,11.62,41.67,9.3
Sensation,Carnival,20,70.367,20.52,8.55,10.2,34.29,9.2
Spirit,Carnival,12,88.5,21.24,9.63,10.56,41.67,10.29
Triumph,Carnival,14,101.509,27.58,8.93,13.21,36.81,10.0
Valor,Carnival,9,110.0,29.74,9.52,14.87,36.99,11.6
Victory,Carnival,13,101.509,27.58,8.93,13.79,36.81,11.5
Century,Celebrity,18,70.60600000000001,17.7,8.15,8.75,39.89,8.58
Constellation,Celebrity,11,91.0,20.32,9.65,9.75,44.78,9.99
Galaxy,Celebrity,17,77.71300000000001,18.9,8.66,9.35,41.12,9.09
Infinity,Celebrity,12,91.0,20.32,9.65,9.75,44.78,9.99
