A,B,C,D,Spoiled
4,2,12.0,3,1.0
5,6,12.0,7,1.0
6,2,13.0,6,1.0
4,2,12.0,1,1.0
4,2,12.0,3,1.0
10,3,13.0,9,1.0
8,5,14.0,5,1.0
5,8,12.0,8,1.0
6,5,12.0,9,1.0
3,3,12.0,1,1.0
9,8,11.0,3,1.0
1,10,12.0,3,1.0
1,5,13.0,10,1.0
2,10,12.0,6,1.0
1,10,11.0,4,1.0
5,3,12.0,2,1.0
4,9,11.0,8,1.0
5,1,11.0,1,1.0
4,9,12.0,10,1.0
5,8,10.0,9,1.0
5,7,11.0,9,1.0
4,10,13.0,8,1.0
10,5,12.0,9,1.0
2,4,13.0,4,1.0
1,4,13.0,10,1.0
1,8,12.0,1,1.0
2,10,13.0,4,1.0
6,2,12.0,4,1.0
8,2,13.0,3,1.0
6,4,12.0,2,1.0
3,2,11.0,9,1.0
10,6,12.0,10,1.0
9,5,13.0,3,1.0
9,2,12.0,5,1.0
2,6,13.0,9,1.0
4,2,12.0,10,1.0
4,3,12.0,6,1.0
7,1,12.0,1,1.0
1,7,11.0,10,1.0
9,2,11.0,10,1.0
2,6,12.0,2,1.0
9,4,11.0,5,1.0
6,2,11.0,10,1.0
3,10,11.0,4,1.0
6,9,11.0,2,1.0
10,6,11.0,9,1.0
6,7,11.0,9,1.0
7,2,13.0,8,1.0
9,2,13.0,5,1.0
8,7,12.0,6,1.0
9,1,12.0,9,1.0
3,5,14.0,3,1.0
7,1,11.0,3,1.0
5,9,12.0,7,1.0
3,10,12.0,7,1.0
9,8,13.0,9,1.0
10,9,12.0,9,1.0
10,7,11.0,2,1.0
10,3,11.0,1,1.0
2,4,11.0,8,1.0
10,3,13.0,4,1.0
5,1,14.0,8,1.0
8,8,11.0,4,1.0
4,8,14.0,1,1.0
5,1,12.0,7,1.0
6,8,11.0,2,1.0
1,1,13.0,3,1.0
9,3,12.0,10,1.0
6,1,11.0,7,1.0
7,5,10.0,1,1.0
10,2,12.0,2,1.0
2,3,13.0,1,1.0
5,8,12.0,2,1.0
10,6,12.0,10,1.0
9,1,11.0,6,1.0
10,10,14.0,7,1.0
1,5,12.0,10,1.0
10,1,11.0,2,1.0
1,1,12.0,2,1.0
10,3,13.0,7,1.0
1,6,11.0,10,1.0
9,4,12.0,3,1.0
10,9,12.0,5,1.0
